SCRIPT_OBJECT_TYPE_ABODE				ABODE_INFO
SCRIPT_OBJECT_TYPE_FEATURE				FEATURE_INFO
SCRIPT_OBJECT_TYPE_VILLAGER				VILLAGER_INFO
SCRIPT_OBJECT_TYPE_VILLAGER_CHILD		VILLAGER_INFO
SCRIPT_OBJECT_TYPE_ANIMAL				ANIMAL_INFO
SCRIPT_OBJECT_TYPE_REWARD				REWARD_OBJECT_INFO
SCRIPT_OBJECT_TYPE_MOBILE_STATIC		MOBILE_STATIC_INFO
SCRIPT_OBJECT_TYPE_DANCE				DANCE_INFO
SCRIPT_OBJECT_TYPE_DEAD_TREE			TREE_INFO
SCRIPT_OBJECT_TYPE_WEATHER_THING		WEATHER_INFO
SCRIPT_OBJECT_TYPE_WORSHIP_SITE			WORSHIP_SITE_INFO
SCRIPT_OBJECT_TYPE_MOBILE_OBJECT		MOBILE_OBJECT_INFO
SCRIPT_OBJECT_TYPE_TREE					TREE_INFO
SCRIPT_OBJECT_TYPE_VORTEX				VORTEX_TYPE
SCRIPT_OBJECT_TYPE_SPELL_SEED			SPELL_SEED_TYPE
SCRIPT_OBJECT_TYPE_FIELD				FIELD_TYPE_INFO
SCRIPT_OBJECT_TYPE_HIGHLIGHT			HIGHLIGHT_INFO
SCRIPT_OBJECT_TYPE_COMPUTER_PLAYER		PLAYER_INFO
SCRIPT_OBJECT_TYPE_SCAFFOLD				SCAFFOLD_INFO
SCRIPT_OBJECT_TYPE_ANIMATED_STATIC		ANIMATED_STATIC_INFO
SCRIPT_OBJECT_TYPE_FLOWERS				FLOWERS_INFO
